Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
crs421309208081,motor cw pulley/capacitor,1,,,,,crs421309208081,,12 August 2010,74.76,13.08,87.84,87.84,100
hpt1701575,thermostat front sir,1,,,,,hpt1701575,,9 March 2010,6.99,1.22,8.21,8.21,100
hvr91941075,round heating element,1,,,,,hvr91941075,,25 June 2010,15.99,2.80,18.79,18.79,100
num230155,carbon brush hvr200-22,1,,,,,num230155,,20 August 2010,7.68,1.34,9.02,9.02,100
num220702,carbon brush cyl hvr 200,1,,,,,num220702,,20 August 2010,5.44,0.95,6.39,6.39,100
quatoc40,thermostat kit green spot,1,,,,,quatoc40,,1 November 2010,2.49,0.44,2.93,2.93,100
hvr97916670,carbon brush & holder,1,,,,,hvr97916670,,23 November 2009,5.35,0.94,6.29,6.29,100
dst506008303006,thermosat main oven,1,,,,,dst506008303006,,20 January 2011,16.46,3.29,19.75,19.75,100
plm604,hose end connector,1,,,,,plm604,,,1.77,0.35,2.12,2.12,12
merc00110333,valve solenoid cold w113,1,,,,,merc00110333,,20 January 2011,11.09,2.22,13.31,13.31,100
cre1701583,thermomstat cut out kit,1,,,,,cre1701583,,4 November 2010,7.80,1.56,9.36,9.36,13
lacfl36w,36w energy spiral,1,,,,,lacfl36w,,9 February 2011,3.50,0.70,4.20,4.2,100
merc00262243,thermostat kit ,1,,,,,merc00262243,,15 February 2011,11.91,2.38,14.29,14.29,100
hpt170311,thermostat heater cuto,1,,,,,hpt170311,,15 February 2011,8.94,1.79,10.73,10.73,100
05sk05,skf6205zz shielded bearing,1,,,,,05sk05,,7 March 2011,2.44,0.49,2.93,2.93,100
54zn15,seal30x52x10/12,1,,,,,54zn15,,7 March 2011,0.58,0.12,0.7,0.7,100
05un 03,shielded bearing 20x47x14,1,,,,,05un 03,,7 March 2011,0.64,0.13,0.77,0.77,100
54zn15,seal for spider,1,,,,,54zn15,,7 March 2011,0.83,0.17,1,1,100
12sv01,round carbon brushes,2,,,,,12sv01,,31 March 2011,8.98,1.80,10.78,21.56,14
05hp30,hotpoint 1400 drum kit,1,,,,,05hp30,,31 March 2011,6.69,1.34,8.03,8.03,15
05hp06,hotpoint 7 drum kit,1,,,,,05hp06,,31 March 2011,8.99,1.80,10.79,10.79,16
12in10,ceset carbon brushes,1,,,,,12in10,,31 March 2011,7.99,1.60,9.59,9.59,17
quagsk25,washer cork tripod,1,,,,,quagsk25,,1 April 2011,0.16,0.03,0.19,0.19,100
quagsk23,gyrator washer hotpoint,1,,,,,quagsk23,,1 April 2011,0.23,0.05,0.28,0.28,100
quasl66,carbon seal face,1,,,,,quasl66,,1 April 2011,2.54,0.51,3.05,3.05,100
quacar91,carbon brush fhp ,1,,,,,quacar91,,1 April 2011,6.74,1.35,8.09,8.09,100
dst1240180065,pump drain w/m,1,,,,,dst1240180065,,1 April 2011,5.09,1.02,6.11,6.11,100
hvr91201693,pressure switch ,1,,,,,hvr91201693,,3 May 2011,11.15,2.23,13.38,13.38,18
12-ar-06,seini carbon brush x2,1,,,,,12-ar-06,,17 May 2011,5.29,1.06,6.35,6.35,19
12-ar-06,seini carbon brush x2,1,,,,,12-ar-06,,18 May 2011,14.57,2.91,17.48,17.48,19
quacar13,carbon brushes ea1,1,,,,,quacar13,,6 June 2011,1.26,0.25,1.51,1.51,18
7537,3/4bsp fxf in-line strainer,2,,,,,7537,,23 June 2011,4.92,0.98,5.9,11.8,20
7140,speedfit 22m pipe support,2,,,,,7140,,23 June 2011,0.25,0.05,0.3,0.6,20
7139,speedfit 15m pipe support,5,,,,,7139,,23 June 2011,0.21,0.04,0.25,1.25,20
wel4031,wellco premium lightswitch,1,,,,,wel4031,,9 August 2011,4.04,0.81,4.85,4.85,6
dor3446,door interlock switch,1,,,,,dor3446,,10 August 2011,1.85,0.37,2.22,2.22,6
swt9097,switch on/off,1,,,,,swt9097,,10 August 2011,2.15,0.43,2.58,2.58,6
dst50265479001,carbon & holder,1,,,,,dst50265479001,,12 August 2011,6.42,1.28,7.7,7.7,6
dst1240348506,door interlock 3 tag,1,,,,,dst1240348506,,22 August 2011,7.99,1.60,9.59,9.59,6
dys950163,door hinge bracket,1,,,,,dys950163,,25 August 2011,2.90,0.58,3.48,3.48,18
hvr97922819,askoll drain pump,1,,,,,hvr97922819,,21 September 2011,7.49,1.50,8.99,8.99,18
q904299,pvc hose4x6,2,,,,,q904299,,28 October 2011,4.23,0.85,5.08,10.16,21
q325648,pvc hose4x6 blue,1,,,,,q325648,,28 October 2011,15.81,3.16,18.97,18.97,21
hpt1603030,hugetop bottom w/m,1,,,,,hpt1603030,,26 September 2011,11.99,2.40,14.39,14.39,22
hpt1701426,huge door ldy td,1,,,,,hpt1701426,,26 September 2011,14.99,3.00,17.99,17.99,22
hpt1703200,thermostat toc kit,1,,,,,hpt1703200,,7 November 2011,7.35,1.47,8.82,8.82,6
dst1249685007,bearing seal ldy,1,,,,,dst1249685007,,7 November 2011,5.32,1.06,6.38,6.38,6
blt10008,belt drive ldy,1,,,,,blt10008,,7 November 2011,6.12,1.22,7.34,7.34,6
hvr91201546,heating element,1,,,,,hvr91201546,,9 November 2011,8.75,1.75,10.5,10.5,18
blk0546nc,flourescent starter 125w,1,,,,,blk0546nc,,22 November 2011,0.30,0.06,0.36,0.36,6
hvr97916670,carbon brush,1,,,,,hvr97916670,,22 November 2011,4.61,0.92,5.53,5.53,6
cfc7323,cable 1.00mm 10a,1,,,,,cfc7323,,28 November 2011,19.53,3.91,23.44,23.44,6
hpt1604486,heating element,1,,,,,hpt1604486,,8 December 2011,8.99,1.80,10.79,10.79,6
bek1886790500,capacitor,1,,,,,bek1886790500,,8 December 2011,3.00,0.60,3.60,3.6,6
tls9024,glass hob ceramic knife,1,,,,,tls9024,,22 December 2011,1.05,0.21,1.26,1.26,6
